# Conformal Prediction Input Data
# Format: image_path,label,logit1,logit2,logit3,logit4
# Labels: 0=bothFireAndSmoke, 1=fire, 2=smoke, 3=neitherFireNorSmoke
bothFireAndSmoke/bothFireAndSmoke_CV000001.jpg,0,-1.2,2.1,-0.8,-0.5
fire/fire_CV000001.jpg,1,-0.5,1.8,-1.2,-0.9
smoke/smoke_CV000001.jpg,2,-0.8,-1.1,2.3,-0.7
neitherFireNorSmoke/neither_CV000001.jpg,3,-1.5,-1.8,-1.2,2.8
bothFireAndSmoke/bothFireAndSmoke_CV000002.jpg,0,-0.9,1.9,-0.6,-0.3
fire/fire_CV000002.jpg,1,-0.7,2.2,-1.5,-0.8
smoke/smoke_CV000002.jpg,2,-1.1,-0.9,2.1,-0.4
neitherFireNorSmoke/neither_CV000002.jpg,3,-1.8,-2.1,-1.5,3.1
bothFireAndSmoke/bothFireAndSmoke_CV000003.jpg,0,-1.0,2.0,-0.7,-0.4
fire/fire_CV000003.jpg,1,-0.6,1.7,-1.3,-1.0
smoke/smoke_CV000003.jpg,2,-0.9,-1.2,2.4,-0.8
neitherFireNorSmoke/neither_CV000003.jpg,3,-1.6,-1.9,-1.3,2.9
bothFireAndSmoke/bothFireAndSmoke_CV000004.jpg,0,-1.1,2.3,-0.5,-0.2
fire/fire_CV000004.jpg,1,-0.4,1.9,-1.1,-0.7
smoke/smoke_CV000004.jpg,2,-1.0,-0.8,2.2,-0.6
neitherFireNorSmoke/neither_CV000004.jpg,3,-1.7,-2.0,-1.4,3.0
bothFireAndSmoke/bothFireAndSmoke_CV000005.jpg,0,-0.8,2.1,-0.9,-0.6
fire/fire_CV000005.jpg,1,-0.8,1.6,-1.4,-1.1
smoke/smoke_CV000005.jpg,2,-1.2,-1.0,2.5,-0.5
neitherFireNorSmoke/neither_CV000005.jpg,3,-1.4,-1.7,-1.1,2.7
bothFireAndSmoke/bothFireAndSmoke_CV000006.jpg,0,-1.3,1.8,-0.4,-0.7
fire/fire_CV000006.jpg,1,-0.3,2.0,-1.0,-0.9
smoke/smoke_CV000006.jpg,2,-0.7,-1.3,2.6,-0.9
neitherFireNorSmoke/neither_CV000006.jpg,3,-1.9,-2.2,-1.6,3.2
bothFireAndSmoke/bothFireAndSmoke_CV000007.jpg,0,-1.0,2.2,-0.6,-0.3
fire/fire_CV000007.jpg,1,-0.5,1.5,-1.5,-1.2
smoke/smoke_CV000007.jpg,2,-1.1,-0.7,2.3,-0.7
neitherFireNorSmoke/neither_CV000007.jpg,3,-1.5,-1.8,-1.2,2.8
bothFireAndSmoke/bothFireAndSmoke_CV000008.jpg,0,-0.9,1.9,-0.8,-0.4
fire/fire_CV000008.jpg,1,-0.6,1.7,-1.2,-0.8
smoke/smoke_CV000008.jpg,2,-1.0,-1.1,2.4,-0.6
neitherFireNorSmoke/neither_CV000008.jpg,3,-1.6,-1.9,-1.3,2.9
bothFireAndSmoke/bothFireAndSmoke_CV000009.jpg,0,-1.2,2.0,-0.7,-0.5
fire/fire_CV000009.jpg,1,-0.7,1.8,-1.3,-0.9
smoke/smoke_CV000009.jpg,2,-0.8,-0.9,2.2,-0.8
neitherFireNorSmoke/neither_CV000009.jpg,3,-1.7,-2.0,-1.4,3.0
bothFireAndSmoke/bothFireAndSmoke_CV000010.jpg,0,-1.1,2.1,-0.5,-0.2
fire/fire_CV000010.jpg,1,-0.4,1.9,-1.1,-0.7
smoke/smoke_CV000010.jpg,2,-1.2,-1.0,2.5,-0.5
neitherFireNorSmoke/neither_CV000010.jpg,3,-1.4,-1.7,-1.1,2.7
